Element,Isotope,Mass_u,Abundance,Dominant
H,H1,1.00782503223,0.99984426,1
H,H2,2.01410177812,0.00015574,0
O,O16,15.99491461957,0.997570,1
O,O17,16.99913175650,0.000380,0
O,O18,17.99916158639,0.002050,0
U,U234,234.0409521,0.000054,0
U,U235,235.0439299,0.007204,1
U,U238,238.0507882,0.992742,1
Zr,Zr90,89.9047044,0.5145,1
Zr,Zr91,90.9056458,0.1122,0
Zr,Zr92,91.9050408,0.1715,0
Zr,Zr94,93.9063152,0.1738,0
Zr,Zr96,95.9082734,0.0280,0
B,B10,10.0129370,0.199,1
B,B11,11.0093054,0.801,1
C,C12,12.0000000,0.9893,1
C,C13,13.00335483507,0.0107,0
Be,Be9,9.0121822,1.0,1
Na,Na23,22.9897692809,1.0,1
Fe,Fe54,53.9396105,0.05845,0
Fe,Fe56,55.9349375,0.91754,1
Fe,Fe57,56.9353940,0.02119,0
Fe,Fe58,57.9332773,0.00282,0
Cr,Cr50,49.9460442,0.04345,0
Cr,Cr52,51.9405075,0.83789,1
Cr,Cr53,52.9406494,0.09501,0
Cr,Cr54,53.9388804,0.02365,0
Ni,Ni58,57.9353429,0.680769,1
Ni,Ni60,59.9307864,0.262231,0
Ni,Ni61,60.9310560,0.011399,0
Ni,Ni62,61.9283451,0.036345,0
Ni,Ni64,63.9279660,0.009256,0
Pb,Pb204,203.9730287,0.014,0
Pb,Pb206,205.9744490,0.241,1
Pb,Pb207,206.9758809,0.221,1
Pb,Pb208,207.9766361,0.524,1
Al,Al27,26.98153841,1.0,1
Si,Si28,27.9769265325,0.92223,1
Si,Si29,28.9764947000,0.04685,0
Si,Si30,29.973770137,0.03092,0
